ID PRODUCT,ID WARNA,UKURAN,SKU,KUANTITAS,MAXIMUM ORDER,IMAGE 1,IMAGE 2,IMAGE 3,IMAGE 4
1,1,36,AN-016,2,100,AN-016.jpg,AN-016a.jpg,AN-016b.jpg,AN-016c.jpg
1,1,37,AN-016,2,100,AN-016.jpg,AN-016a.jpg,AN-016b.jpg,AN-016c.jpg
1,1,40,AN-016,1,100,AN-016.jpg,AN-016a.jpg,AN-016b.jpg,AN-016c.jpg
2,4,36,AN-017,2,100,AN-017.jpg,AN-017a.jpg,AN-017b.jpg,AN-017c.jpg
2,4,40,AN-017,1,100,AN-017.jpg,AN-017a.jpg,AN-017b.jpg,AN-017c.jpg
3,1,36,AN-018,2,100,AN-018.jpg,AN-018a.jpg,AN-018b.jpg,AN-018c.jpg
3,1,37,AN-018,2,100,AN-018.jpg,AN-018a.jpg,AN-018b.jpg,AN-018c.jpg
4,1,36,AN-019,1,100,AN-019.jpg,AN-019a.jpg,AN-019b.jpg,AN-019c.jpg
4,1,37,AN-019,1,100,AN-019.jpg,AN-019a.jpg,AN-019b.jpg,AN-019c.jpg
5,2,36,AN-020,1,100,AN-020.jpg,AN-020a.jpg,AN-020b.jpg,AN-020c.jpg
506,6,M,KS-009,6,100,KS-009.jpg,.,.,.
506,6,L,KS-009,1,100,KS-009.jpg,.,.,.
506,6,XL,KS-009,5,100,KS-009.jpg,.,.,.
507,1,M,KS-010,3,100,KS-010.jpg,.,.,.
509,6,L,KS-028,1,100,KS-028.jpg,.,.,.
509,6,XL,KS-028,1,100,KS-028.jpg,.,.,.
510,8,M,KS-031,1,100,KS-031.jpg,.,.,.
510,2,M,KS-037,1,100,KS-037.jpg,.,.,.
512,7,M,KS-043,2,100,KS-043.jpg,.,.,.
512,7,L,KS-043,1,100,KS-043.jpg,.,.,.
512,7,XL,KS-043,2,100,KS-043.jpg,.,.,.
513,3,M,KS-044,1,100,KS-044.jpg,.,.,.
513,3,XL,KS-044,1,100,KS-044.jpg,.,.,.
514,7,XL,KS-045,1,100,KS-045.jpg,.,.,.
515,4,XL,KS-054,1,100,KS-054.jpg,.,.,.
516,4,XL,KS-055,1,100,KS-055.jpg,.,.,.
517,5,XL,KS-056,1,100,KS-056.jpg,.,.,.
518,4,M,KS-057,1,100,KS-057.jpg,.,.,.
518,4,L,KS-057,1,100,KS-057.jpg,.,.,.
520,7,M,KS-062,1,100,KS-062.jpg,.,.,.
520,7,XL,KS-062,1,100,KS-062.jpg,.,.,.
521,7,M,KS-064,1,100,KS-064.jpg,.,.,.
521,7,XL,KS-064,1,100,KS-064.jpg,.,.,.
522,4,XL,KS-071,1,100,KS-071.jpg,.,.,.
523,7,M,KS-073,1,100,KS-073.jpg,.,.,.
524,8,M,KS-075,1,100,KS-075.jpg,.,.,.
526,8,M,KS-080,1,100,KS-080.jpg,.,.,.
527,8,M,KS-083,1,100,KS-083.jpg,.,.,.
528,8,M,KS-084,1,100,KS-084.jpg,.,.,.
529,4,M,KS-086,1,100,KS-086.jpg,.,.,.
530,5,M,KS-090,1,100,KS-090.jpg,.,.,.
531,8,M,KS-098,1,100,KS-098.jpg,.,.,.
532,6,M,KS-100,1,100,KS-100.jpg,.,.,.
533,3,M,KS-103,1,100,KS-103.jpg,.,.,.
534,8,M,KS-104,1,100,KS-104.jpg,.,.,.
535,3,M,KS-108,1,100,KS-108.jpg,.,.,.
536,4,M,KS-109,1,100,KS-109.jpg,.,.,.
537,5,XL,KS-110,1,100,KS-110.jpg,.,.,.
538,3,L,KS-111,1,100,KS-111.jpg,.,.,.
538,3,XL,KS-111,1,100,KS-111.jpg,.,.,.
539,4,M,KS-112,1,100,KS-112.jpg,.,.,.
540,6,L,KS-113,1,100,KS-113.jpg,.,.,.
541,4,XL,KS-114,1,100,KS-114.jpg,.,.,.
542,7,L,KS-115,1,100,KS-115.jpg,.,.,.
543,4,XL,KS-116,1,100,KS-116.jpg,.,.,.
544,5,M,KS-117,1,100,KS-117.jpg,.,.,.
545,4,XL,KS-118,1,100,KS-118.jpg,.,.,.
546,4,XL,KS-119,1,100,KS-119.jpg,.,.,.
547,3,L,KS-121,1,100,KS-121.jpg,.,.,.
548,4,XL,KS-123,1,100,KS-123.jpg,.,.,.
549,7,M,KS-125,1,100,KS-125.jpg,.,.,.
